alpha,similarity,base_lr,effective_lr,seed,forgetting,forgetting_reduction,loss_t1_after_t1,loss_t1_after_t2,loss_t2_after_t2,relative_time
1.0,0.2,0.05,0.010000000000000002,0,0.06407828704686835,0.0,0.0005207724752835929,0.06459905952215195,0.02074163220822811,0.2460634708404541
1.0,0.2,0.05,0.010000000000000002,1,0.06018288878840394,0.0,0.00044594259816221893,0.06062883138656616,0.0214375052601099,0.18269610404968262
1.0,0.2,0.05,0.010000000000000002,2,0.05930185626493767,0.0,0.00048498500837013125,0.0597868412733078,0.021935345605015755,0.18369221687316895
1.0,0.2,0.05,0.010000000000000002,3,0.062177788466215134,0.0,0.0003858022391796112,0.06256359070539474,0.021614262834191322,0.20608186721801758
1.0,0.2,0.05,0.010000000000000002,4,0.06148422620026395,0.0,0.0005137648549862206,0.06199799105525017,0.020877614617347717,0.22269248962402344
1.5,0.2,0.05,0.004472135954999581,0,0.022337623697239906,0.0,0.0005207724752835929,0.0228583961725235,0.061479602009058,0.20792889595031738
1.5,0.2,0.05,0.004472135954999581,1,0.020512721297563985,0.0,0.00044594259816221893,0.020958663895726204,0.06180122122168541,0.20522046089172363
1.5,0.2,0.05,0.004472135954999581,2,0.020023991644848138,0.0,0.00048498500837013125,0.02050897665321827,0.06178608909249306,0.1854565143585205
1.5,0.2,0.05,0.004472135954999581,3,0.02115367352962494,0.0,0.0003858022391796112,0.02153947576880455,0.06156684085726738,0.1804969310760498
1.5,0.2,0.05,0.004472135954999581,4,0.021337532612960786,0.0,0.0005137648549862206,0.021851297467947006,0.06127062812447548,0.17890667915344238
2.0,0.2,0.05,0.0020000000000000005,0,0.005956734356004745,0.0,0.0005207724752835929,0.006477506831288338,0.10415427386760712,0.1817634105682373
2.0,0.2,0.05,0.0020000000000000005,1,0.005395106767537072,0.0,0.00044594259816221893,0.005841049365699291,0.10266297310590744,0.18287229537963867
2.0,0.2,0.05,0.0020000000000000005,2,0.005210776638705283,0.0,0.00048498500837013125,0.005695761647075415,0.10161378234624863,0.22511744499206543
